label,value,standard_error,expression,maximum,minimum,non_negative,vary
osc.freq.4,846.7039951,2.799090755,None,,,False,True
osc.freq.2,458.3352816,1.050296614,None,,,False,True
osc.freq.5,297.1489502,2.697552572,None,,,False,True
osc.freq.6,988.7190812,2.682090487,None,,,False,True
osc.freq.3,213.4912152,3.160077471,None,,,False,True
osc.freq.1,237.1693741,0.64408528,None,,,False,True
osc.rates.4,26.20773973,0.611136927,None,,,False,True
osc.rates.2,9.661439301,0.199885618,None,,,False,True
osc.rates.5,70.31206394,1.069908435,None,,,False,True
osc.rates.6,-51.70067933,0.557349025,None,,,False,True
osc.rates.3,16.10447111,0.601941109,None,,,False,True
osc.rates.1,2.593685569,0.124957366,None,,,False,True
j.1,1,None,None,,,False,False
j.0,0,None,None,,,False,False
kinetic.from_S2,13.75976998,0.011575017,None,,,True,False
kinetic.to_T1hot_from_S1,2.25,0.003067001,None,,,True,False
kinetic.to_T1_from_T1hot,0.409793781,0.078950837,None,,,True,True
kinetic.from_T1,0.001,None,None,,,True,False
irf.center,0.169311485,6.51E-05,None,,,False,True
irf.width,0.008333541,None,None,,,True,False
irf.dispcenter,530,None,None,,,False,False
irf.disp1,-0.306774393,0.000232525,None,,,False,True
irf.disp2,-0.149625176,0.000535691,None,,,False,True
irf.disp3,-0.022550278,0.001069406,None,,,False,True
artifact.CAwidth,0.01412803,0.00364431,None,,,True,True
kinetic.frac,0.4,None,None,,,True,False
kinetic.to_S2rel_from_S2,1,None,$kinetic.from_S2*$kinetic.frac,,,True,False
kinetic.to_S1_from_S2,1,None,$kinetic.from_S2*(1-$kinetic.frac),,,True,False
kinetic.to_S1_from_S2rel,4.36,None,None,,,True,False
kinetic.to_T1hot_from_S2rel,1.6,None,None,,,True,False
