label,value,standard_error,expression,maximum,minimum,non_negative,vary
osc.freq.1,846.9772892,2.973205528,None,,,False,True
osc.freq.2,461.3061764,1.191028829,None,,,False,True
osc.freq.3,260.975442,2.83720821,None,,,False,True
osc.freq.4,979.5913277,2.717357003,None,,,False,True
osc.freq.5,189.4053636,1.866206156,None,,,False,True
osc.freq.6,200,1.866206156,None,,,False,True
osc.rates.1,28.88854213,0.665751891,None,,,False,True
osc.rates.2,11.94097741,0.23366688,None,,,False,True
osc.rates.3,71.49492073,1.082133948,None,,,False,True
osc.rates.4,-52.14719824,0.564637293,None,,,False,True
osc.rates.5,12.73268593,0.39918746,None,,,False,True
osc.rates.6,5,0.39918746,None,,,False,True
j.1,1,None,None,,,False,False
j.0,0,None,None,,,False,False
kinetic.to_S1_from_S2,14.39260816,0.012233239,None,,,True,True
kinetic.to_T1hot_from_S1,3.523533029,0.002912155,None,,,True,True
kinetic.to_T1_from_T1hot,0.372874303,0.086105768,None,,,True,True
kinetic.from_T1,0.001,None,None,,,True,False
irf.center,0.168994081,6.58E-05,None,,,False,True
irf.width,0.008333541,None,None,,,True,False
irf.dispcenter,530,None,None,,,False,False
irf.disp1,-0.307963228,0.000248906,None,,,False,True
irf.disp2,-0.147487226,0.000554076,None,,,False,True
irf.disp3,-0.014422632,0.001145027,None,,,False,True
artifact.CAwidth,0.014377778,0.003929463,None,,,True,True
