label,value,standard_error,expression,maximum,minimum,non_negative,vary
inputs.s1,0,None,None,,,False,False
inputs.s2,1,None,None,,,False,False
inputs400.APC660,1,None,None,,,False,False
inputs400.APC660a,0.75,None,None,,,False,False
inputs400.APC680,0.25,None,None,,,False,False
inputs400.PC650,3,None,None,,,False,False
inputs400.PC640,1.5,None,None,,,False,False
inputs400.PS2,18.2052,None,None,,,False,True
inputs590.APC660,1,None,None,,,False,False
inputs590.APC660a,0.75,None,None,,,False,False
inputs590.APC680,0.25,None,None,,,False,False
inputs590.PC650,3,None,None,,,False,False
inputs590.PC640,3,None,$inputs590.PC650,,,False,False
inputs590.PS2,3.5645,None,None,,,False,True
rates.k1,0.004,None,None,,,False,False
rates.k26,0.003,None,$rates.k1*0.75,,,False,False
rates.k2,0.000783,None,None,,,False,False
rates.k4,0.09158,None,None,,,False,False
rates.k3,0.068685,None,$rates.k4*0.75,,,False,False
rates.k5,0.234,None,None,,,False,False
rates.k6,0.0702,None,$rates.k5*0.3,,,False,False
rates.k7,0.0116,None,None,,,False,False
rates.k8,0.0017,None,None,,,False,False
rates.k9,0.0087,None,$rates.k7*0.75,,,False,False
rates.k24,0.0689,None,None,,,False,False
rates.k25,0.00728,None,None,,,False,False
rates.k40,0.000781,None,None,,,False,False
rates.k43,0.1,None,None,,,False,False
rates.k44,0.0031,None,None,,,False,False
rates.k45,0.000536,None,None,,,False,False
rates.k48,1.00E-09,None,None,,,False,False
rates.k52,0.000606,None,None,,,False,False
rates.k53,0.0033,None,None,,,False,False
rates.k54,0.014,None,None,,,False,False
rates.k55,0.001466,None,None,,,False,False
rates.k56,0.05,None,None,,,False,False
rates.k57,0.00219,None,None,,,False,False
area.1,1,None,None,,,False,False
area.PS2,0.7,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.1,1,None,None,,,False,False
scale.2,0.296653091,0.001195557,None,,,False,True
scale.3,4.056531009,0.007649847,None,,,False,True
scale.4,1.17787779,0.002295857,None,,,False,True
scale.5,0.820614363,0.002175341,None,,,False,True
scalem.400.tr4.open,0.492802762,None,1-$scalem.400.tr4.closed-$scalem.400.tr4.nontr,,,False,False
scalem.400.tr4.closed,0.292368051,0.001761035,None,,,False,True
scalem.400.tr4.nontr,0.214829187,0.002374303,None,,,False,True
scalem.400.tr2.open,0.494804597,None,1-$scalem.400.tr2.closed-$scalem.400.tr2.nontr,,,False,False
scalem.400.tr2.closed,0.335821066,0.002998206,None,,,False,True
scalem.400.tr2.nontr,0.169374337,0.003147881,None,,,False,True
scalem.590.tr4.open,0.808497066,None,1-$scalem.590.tr4.closed-$scalem.590.tr4.nontr,,,False,False
scalem.590.tr4.closed,0.098716212,0.000443679,None,,,False,True
scalem.590.tr4.nontr,0.092786723,0.000325437,None,,,False,True
scalem.590.tr2.open,0.826435513,None,1-$scalem.590.tr2.closed-$scalem.590.tr2.nontr,,,False,False
scalem.590.tr2.closed,0.120067241,0.000683508,None,,,False,True
scalem.590.tr2.nontr,0.053497246,0.00046883,None,,,False,True
irf.center1,51.2005653,None,None,,,False,False
irf.center2,50.7999496,None,None,,,False,False
irf.center3,50.8097,None,None,,,False,False
irf.center4,50.6241035,None,None,,,False,False
irf.width1,8.11060429,None,None,,,False,False
irf.width2,37.0027199,None,None,,,False,False
irf.width3,2.96260023,None,None,,,False,False
irf.width4,18.3664494,None,None,,,False,False
irf.width5,8.27260399,None,None,,,False,False
irf.width6,25.1025658,None,None,,,False,False
irf.width7,3.38692617,None,None,,,False,False
irf.width8,14.640069,None,None,,,False,False
irf.scale1,1,None,None,,,False,False
irf.scale2,0.267231968,0.003174921,None,,,False,True
irf.scale3,0.199305099,0.006068901,None,,,False,True
irf.scale4,0.240092994,0.000839685,None,,,False,True
irf.scale5,0.204894164,0.00148843,None,,,False,True
irf.common_dispcenter,700,None,None,,,False,False
irf.data1_disp1,-1.64111042,None,None,,,False,False
irf.data1_disp2,4.38865376,None,None,,,False,False
irf.data1_disp3,-2.19848228,None,None,,,False,False
irf.data1_disp4,6.17810106,None,None,,,False,False
